brand,first_reply_pairs,deflect_rate,ack_only_rate,substantive_rate,non_latin_rate,median_reply_chars,thanks_rate,multi_turn_rate,distinct_customers,usable_score
AskTarget,13210,0.3599545798637396,0.0002271006813020439,0.6333080999242998,0.0001514004542013626,138.0,0.0785768357305072,0.30461771385314157,10714,0.6571305233649177
Uber_Support,56160,0.43833689458689457,0.0025462962962962965,0.5266203703703703,0.00017806267806267807,87.0,0.05831552706552707,0.319212962962963,38299,0.6556327160493827
O2,16069,0.2982761839566868,0.008463501151285083,0.5460825191362251,0.0,97.0,0.07075735888978779,0.43543468790839507,8814,0.6553620183569171
ArgosHelpers,12030,0.31238570241064006,0.004488778054862843,0.4771404821280133,0.0010806317539484621,92.0,0.12468827930174564,0.4746467165419784,6795,0.6552026996723841
AzureSupport,7010,0.20984308131241083,0.0005706134094151213,0.6097004279600571,0.005420827389443652,86.0,0.10385164051355207,0.3757489300998573,2775,0.6481075229154214
BofA_Help,12634,0.1993034668355232,7.915149596327371e-05,0.6819692892195662,0.0015830299192654742,93.0,0.04242520183631471,0.24220357764761755,6238,0.6368401639377662
TfL,2213,0.09579755987347492,0.02078626299141437,0.7333935833709896,0.0,103.0,0.10890194306371441,0.2973339358337099,1540,0.6296772812445981
DropboxSupport,5938,0.2164028292354328,0.0006736274840013472,0.7037723139104075,0.003368137420006736,126.0,0.07409902324014819,0.2433479285954867,3173,0.6293675055883843
JetBlue,7956,0.1546003016591252,0.003519356460532931,0.5483911513323279,0.0,85.0,0.09313725490196079,0.39793866264454497,4628,0.626177289836378
Morrisons,9980,0.2593186372745491,0.006412825651302605,0.5302605210420842,0.0,95.0,0.0938877755511022,0.33797595190380764,5451,0.6150613238644336
Safaricom_Care,15441,0.2074995142801632,0.0012952528981283597,0.45126610970792047,6.476264490641798e-05,69.0,0.08185998316171232,0.3815815037886147,7046,0.60459485922131
AppleSupport,106646,0.5533259569041502,9.37681675824691e-05,0.42117847833017646,0.0010314498434071601,105.0,0.05173189805524821,0.29396320537104065,76365,0.5973543311516606
